folder,inner_folder,method,average_diff

11-taxon,estimated_Xgenes_strongILS/estimated_5genes_strongILS,MP,0.132908

11-taxon,estimated_Xgenes_strongILS/estimated_5genes_strongILS,MV,0.117118

11-taxon,estimated_Xgenes_strongILS/estimated_15genes_strongILS,MP,0.136331

11-taxon,estimated_Xgenes_strongILS/estimated_15genes_strongILS,MV,0.136079

11-taxon,estimated_Xgenes_strongILS/estimated_25genes_strongILS,MP,0.168965

11-taxon,estimated_Xgenes_strongILS/estimated_25genes_strongILS,MV,0.170235

11-taxon,estimated_Xgenes_strongILS/estimated_50genes_strongILS,MP,0.204508

11-taxon,estimated_Xgenes_strongILS/estimated_50genes_strongILS,MV,0.200653

11-taxon,estimated_Xgenes_strongILS/estimated_100genes_strongILS,MP,0.243385

11-taxon,estimated_Xgenes_strongILS/estimated_100genes_strongILS,MV,0.255877

