summary_method,folder,inner_folder,rooting_method,average_diff

stelar,11-taxon,estimated_Xgenes_strongILS/estimated_5genes_strongILS,NOCHANGE,0.133913
stelar,11-taxon,estimated_Xgenes_strongILS/estimated_5genes_strongILS,MAD,0.174388
stelar,11-taxon,estimated_Xgenes_strongILS/estimated_5genes_strongILS,MP,0.172481
stelar,11-taxon,estimated_Xgenes_strongILS/estimated_5genes_strongILS,MV,0.168955
stelar,11-taxon,estimated_Xgenes_strongILS/estimated_5genes_strongILS,OG,0.164741
stelar,11-taxon,estimated_Xgenes_strongILS/estimated_5genes_strongILS,RAND,0.180748

stelar,11-taxon,estimated_Xgenes_strongILS/estimated_15genes_strongILS,NOCHANGE,0.130860
stelar,11-taxon,estimated_Xgenes_strongILS/estimated_15genes_strongILS,MAD,0.190375
stelar,11-taxon,estimated_Xgenes_strongILS/estimated_15genes_strongILS,MP,0.193066
stelar,11-taxon,estimated_Xgenes_strongILS/estimated_15genes_strongILS,MV,0.196681
stelar,11-taxon,estimated_Xgenes_strongILS/estimated_15genes_strongILS,OG,0.193305
stelar,11-taxon,estimated_Xgenes_strongILS/estimated_15genes_strongILS,RAND,0.205768

stelar,11-taxon,estimated_Xgenes_strongILS/estimated_25genes_strongILS,NOCHANGE,0.139502
stelar,11-taxon,estimated_Xgenes_strongILS/estimated_25genes_strongILS,MAD,0.230667
stelar,11-taxon,estimated_Xgenes_strongILS/estimated_25genes_strongILS,MP,0.218981
stelar,11-taxon,estimated_Xgenes_strongILS/estimated_25genes_strongILS,MV,0.228397
stelar,11-taxon,estimated_Xgenes_strongILS/estimated_25genes_strongILS,OG,0.223496
stelar,11-taxon,estimated_Xgenes_strongILS/estimated_25genes_strongILS,RAND,0.268689

stelar,11-taxon,estimated_Xgenes_strongILS/estimated_50genes_strongILS,NOCHANGE,0.169524
stelar,11-taxon,estimated_Xgenes_strongILS/estimated_50genes_strongILS,MAD,0.287798
stelar,11-taxon,estimated_Xgenes_strongILS/estimated_50genes_strongILS,MP,0.285410
stelar,11-taxon,estimated_Xgenes_strongILS/estimated_50genes_strongILS,MV,0.297112
stelar,11-taxon,estimated_Xgenes_strongILS/estimated_50genes_strongILS,OG,0.274053
stelar,11-taxon,estimated_Xgenes_strongILS/estimated_50genes_strongILS,RAND,0.341380

stelar,11-taxon,estimated_Xgenes_strongILS/estimated_100genes_strongILS,NOCHANGE,0.169083
stelar,11-taxon,estimated_Xgenes_strongILS/estimated_100genes_strongILS,MAD,0.357332
stelar,11-taxon,estimated_Xgenes_strongILS/estimated_100genes_strongILS,MP,0.334874
stelar,11-taxon,estimated_Xgenes_strongILS/estimated_100genes_strongILS,MV,0.351393
stelar,11-taxon,estimated_Xgenes_strongILS/estimated_100genes_strongILS,OG,0.314367
stelar,11-taxon,estimated_Xgenes_strongILS/estimated_100genes_strongILS,RAND,0.422047

