summary_method,folder,inner_folder,rooting_method,average_rf

stelar,15-taxon,100gene-100bp/estimated-genetrees,MAD,0.250000
stelar,15-taxon,100gene-100bp/estimated-genetrees,MP,0.433333
stelar,15-taxon,100gene-100bp/estimated-genetrees,MV,0.433333
stelar,15-taxon,100gene-100bp/estimated-genetrees,OG,0.433333
stelar,15-taxon,100gene-100bp/estimated-genetrees,RAND,0.450000

stelar,15-taxon,100gene-1000bp/estimated-genetrees,MAD,0.033333
stelar,15-taxon,100gene-1000bp/estimated-genetrees,MP,0.100000
stelar,15-taxon,100gene-1000bp/estimated-genetrees,MV,0.100000
stelar,15-taxon,100gene-1000bp/estimated-genetrees,OG,0.100000
stelar,15-taxon,100gene-1000bp/estimated-genetrees,RAND,0.200000


stelar,15-taxon,1000gene-100bp/estimated-genetrees,MAD,0.075000
stelar,15-taxon,1000gene-100bp/estimated-genetrees,MP,0.316667
stelar,15-taxon,1000gene-100bp/estimated-genetrees,MV,0.316667
stelar,15-taxon,1000gene-100bp/estimated-genetrees,OG,0.316667
stelar,15-taxon,1000gene-100bp/estimated-genetrees,RAND,0.350000

stelar,15-taxon,1000gene-1000bp/estimated-genetrees,MAD,0.000000
stelar,15-taxon,1000gene-1000bp/estimated-genetrees,MP,0.033333
stelar,15-taxon,1000gene-1000bp/estimated-genetrees,MV,0.033333
stelar,15-taxon,1000gene-1000bp/estimated-genetrees,OG,0.033333
stelar,15-taxon,1000gene-1000bp/estimated-genetrees,RAND,0.108333


