folder,inner_folder,method,average_rf

37-taxon,noscale.25g.500b,MP,0.088235

37-taxon,noscale.25g.500b,MV,0.117647

37-taxon,noscale.50g.500b,MP,0.058824

37-taxon,noscale.50g.500b,MV,0.058824

37-taxon,noscale.100g.500b,MP,0.088235

37-taxon,noscale.100g.500b,MV,0.058824

37-taxon,noscale.200g.250b,MP,0.088235

37-taxon,noscale.200g.250b,MV,0.088235

37-taxon,noscale.200g.500b,MP,0.000000

37-taxon,noscale.200g.500b,MV,0.000000

37-taxon,noscale.200g.1000b,MP,0.000000

37-taxon,noscale.200g.1000b,MV,0.000000

37-taxon,noscale.200g.1500b,MP,0.000000

37-taxon,noscale.200g.1500b,MV,0.029412

37-taxon,noscale.200g.true,MP,0.029412

37-taxon,noscale.200g.true,MV,0.029412

37-taxon,noscale.400g.500b,MP,0.000000

37-taxon,noscale.400g.500b,MV,0.000000

37-taxon,noscale.800g.500b,MP,0.000000

37-taxon,noscale.800g.500b,MV,0.000000

37-taxon,scale2d.200g.500b,MP,0.058824

37-taxon,scale2d.200g.500b,MV,0.058824

37-taxon,scale2u.200g.500b,MP,0.029412

37-taxon,scale2u.200g.500b,MV,0.029412

