summary_method,folder,inner_folder,rooting_method,average_diff

stelar,48-taxon,0.5X-1000-500,MP,669.872357
stelar,48-taxon,0.5X-1000-500,MV,640.661986
stelar,48-taxon,0.5X-1000-500,MAD,642.437918

stelar,48-taxon,1X-25-500,MP,0.693528
stelar,48-taxon,1X-25-500,MV,0.703097
stelar,48-taxon,1X-25-500,MAD,0.439436

stelar,48-taxon,1X-50-500,MP,1.521225
stelar,48-taxon,1X-50-500,MV,1.470326
stelar,48-taxon,1X-50-500,MAD,0.979622

stelar,48-taxon,1X-100-500,MP,3.935889
stelar,48-taxon,1X-100-500,MV,3.976176
stelar,48-taxon,1X-100-500,MAD,2.347391

stelar,48-taxon,1X-200-500,MP,14.347789
stelar,48-taxon,1X-200-500,MV,13.869255
stelar,48-taxon,1X-200-500,MAD,8.717361

stelar,48-taxon,1X-500-500,MP,104.025328
stelar,48-taxon,1X-500-500,MV,103.422239
stelar,48-taxon,1X-500-500,MAD,59.920645

stelar,48-taxon,1X-1000-500,MP,515.609741
stelar,48-taxon,1X-1000-500,MV,494.286140
stelar,48-taxon,1X-1000-500,MAD,269.331974

stelar,48-taxon,2X-1000-500,MP,558.579424
stelar,48-taxon,2X-1000-500,MV,573.917185
stelar,48-taxon,2X-1000-500,MAD,113.283670

