summary_method,folder,inner_folder,rooting_method,average_rf

stelar,48-taxon,0.5X-1000-500,MP,0.277778
stelar,48-taxon,0.5X-1000-500,MV,0.328889
stelar,48-taxon,0.5X-1000-500,MAD,0.334444

stelar,48-taxon,1X-25-500,MP,0.443333
stelar,48-taxon,1X-25-500,MV,0.442222
stelar,48-taxon,1X-25-500,MAD,0.000000

stelar,48-taxon,1X-50-500,MP,0.380000
stelar,48-taxon,1X-50-500,MV,0.383333
stelar,48-taxon,1X-50-500,MAD,0.000000

stelar,48-taxon,1X-100-500,MP,0.331111
stelar,48-taxon,1X-100-500,MV,0.350000
stelar,48-taxon,1X-100-500,MAD,0.000000

stelar,48-taxon,1X-200-500,MP,0.284444
stelar,48-taxon,1X-200-500,MV,0.305556
stelar,48-taxon,1X-200-500,MAD,0.000000

stelar,48-taxon,1X-500-500,MP,0.217778
stelar,48-taxon,1X-500-500,MV,0.251111
stelar,48-taxon,1X-500-500,MAD,0.000000

stelar,48-taxon,1X-1000-500,MP,0.000000
stelar,48-taxon,1X-1000-500,MV,0.000000
stelar,48-taxon,1X-1000-500,MAD,0.000000

stelar,48-taxon,2X-1000-500,MP,0.082222
stelar,48-taxon,2X-1000-500,MV,0.076667
stelar,48-taxon,2X-1000-500,MAD,0.000000

