folder,inner_folder,method,average_diff

11-taxon,estimated_Xgenes_strongILS/estimated_5genes_strongILS,MP,0.147080
11-taxon,estimated_Xgenes_strongILS/estimated_5genes_strongILS,MV,0.146835

11-taxon,estimated_Xgenes_strongILS/estimated_15genes_strongILS,MP,0.160981
11-taxon,estimated_Xgenes_strongILS/estimated_15genes_strongILS,MV,0.159243

11-taxon,estimated_Xgenes_strongILS/estimated_25genes_strongILS,MP,0.182009
11-taxon,estimated_Xgenes_strongILS/estimated_25genes_strongILS,MV,0.181095

11-taxon,estimated_Xgenes_strongILS/estimated_50genes_strongILS,MP,0.229875
11-taxon,estimated_Xgenes_strongILS/estimated_50genes_strongILS,MV,0.224545

11-taxon,estimated_Xgenes_strongILS/estimated_100genes_strongILS,MP,0.284968
11-taxon,estimated_Xgenes_strongILS/estimated_100genes_strongILS,MV,0.298631

15-taxon,100gene-100bp,MP,1.721326
15-taxon,100gene-100bp,MV,1.805709

15-taxon,100gene-1000bp,MP,1.376479
15-taxon,100gene-1000bp,MV,1.369476

15-taxon,100gene-true,MP,1.473383
15-taxon,100gene-true,MV,1.373106

15-taxon,1000gene-100bp,MP,1.398603
15-taxon,1000gene-100bp,MV,1.467736

15-taxon,1000gene-1000bp,MP,1.430018
15-taxon,1000gene-1000bp,MV,1.389909

15-taxon,1000gene-true,MP,1.462022
15-taxon,1000gene-true,MV,1.414364

37-taxon,noscale.25g.500b,MP,0.515756
37-taxon,noscale.25g.500b,MV,0.483116

37-taxon,noscale.50g.500b,MP,0.957546
37-taxon,noscale.50g.500b,MV,0.874470

37-taxon,noscale.100g.500b,MP,1.811122
37-taxon,noscale.100g.500b,MV,1.872358

37-taxon,noscale.200g.250b,MP,5.211899
37-taxon,noscale.200g.250b,MV,5.144192

37-taxon,noscale.200g.500b,MP,2.554925
37-taxon,noscale.200g.500b,MV,2.374261

37-taxon,noscale.200g.1000b,MP,1.884229
37-taxon,noscale.200g.1000b,MV,1.855182

37-taxon,noscale.200g.1500b,MP,1.657269
37-taxon,noscale.200g.1500b,MV,1.636405

37-taxon,noscale.200g.true,MP,1.513903
37-taxon,noscale.200g.true,MV,1.480367

37-taxon,noscale.400g.500b,MP,5.818952
37-taxon,noscale.400g.500b,MV,5.654985

37-taxon,noscale.800g.500b,MP,18.674080
37-taxon,noscale.800g.500b,MV,16.022511

37-taxon,scale2d.200g.500b,MP,6.862685
37-taxon,scale2d.200g.500b,MV,6.787365

37-taxon,scale2u.200g.500b,MP,1.442481
37-taxon,scale2u.200g.500b,MV,1.423750

