summary_method,folder,inner_folder,rooting_method,average_rf

stelar,11-taxon,estimated_Xgenes_strongILS/estimated_5genes_strongILS,MAD,0.312500
stelar,11-taxon,estimated_Xgenes_strongILS/estimated_5genes_strongILS,MP,0.312500
stelar,11-taxon,estimated_Xgenes_strongILS/estimated_5genes_strongILS,MV,0.312500

stelar,11-taxon,estimated_Xgenes_strongILS/estimated_15genes_strongILS,MAD,0.143750
stelar,11-taxon,estimated_Xgenes_strongILS/estimated_15genes_strongILS,MP,0.143750
stelar,11-taxon,estimated_Xgenes_strongILS/estimated_15genes_strongILS,MV,0.143750

stelar,11-taxon,estimated_Xgenes_strongILS/estimated_25genes_strongILS,MAD,0.093750
stelar,11-taxon,estimated_Xgenes_strongILS/estimated_25genes_strongILS,MP,0.093750
stelar,11-taxon,estimated_Xgenes_strongILS/estimated_25genes_strongILS,MV,0.093750

stelar,11-taxon,estimated_Xgenes_strongILS/estimated_50genes_strongILS,MAD,0.050000
stelar,11-taxon,estimated_Xgenes_strongILS/estimated_50genes_strongILS,MP,0.050000
stelar,11-taxon,estimated_Xgenes_strongILS/estimated_50genes_strongILS,MV,0.050000

