folder,inner_folder,method,R,quartet_score
15-taxon,100gene-100bp/estimated-genetrees,MP,1,1183
15-taxon,100gene-100bp/estimated-genetrees,MV,1,1183
15-taxon,100gene-100bp/estimated-genetrees,OG,1,1183
15-taxon,100gene-100bp/estimated-genetrees,RD,1,
15-taxon,100gene-100bp/estimated-genetrees,RAND,1,1112
15-taxon,100gene-100bp/estimated-genetrees,MP,2,1157
15-taxon,100gene-100bp/estimated-genetrees,MV,2,1157
15-taxon,100gene-100bp/estimated-genetrees,OG,2,1157
15-taxon,100gene-100bp/estimated-genetrees,RD,2,
15-taxon,100gene-100bp/estimated-genetrees,RAND,2,1049
15-taxon,100gene-100bp/estimated-genetrees,MP,3,1163
15-taxon,100gene-100bp/estimated-genetrees,MV,3,1163
15-taxon,100gene-100bp/estimated-genetrees,OG,3,1163
15-taxon,100gene-100bp/estimated-genetrees,RD,3,1184
15-taxon,100gene-100bp/estimated-genetrees,RAND,3,1199
15-taxon,100gene-100bp/estimated-genetrees,MP,4,1281
15-taxon,100gene-100bp/estimated-genetrees,MV,4,1281
15-taxon,100gene-100bp/estimated-genetrees,OG,4,1281
15-taxon,100gene-100bp/estimated-genetrees,RD,4,1213
15-taxon,100gene-100bp/estimated-genetrees,RAND,4,1200
15-taxon,100gene-100bp/estimated-genetrees,MP,5,1039
15-taxon,100gene-100bp/estimated-genetrees,MV,5,1039
15-taxon,100gene-100bp/estimated-genetrees,OG,5,1039
15-taxon,100gene-100bp/estimated-genetrees,RD,5,1197
15-taxon,100gene-100bp/estimated-genetrees,RAND,5,977
15-taxon,100gene-100bp/estimated-genetrees,MP,6,1331
15-taxon,100gene-100bp/estimated-genetrees,MV,6,1331
15-taxon,100gene-100bp/estimated-genetrees,OG,6,1331
15-taxon,100gene-100bp/estimated-genetrees,RD,6,1259
15-taxon,100gene-100bp/estimated-genetrees,RAND,6,1203
15-taxon,100gene-100bp/estimated-genetrees,MP,7,1221
15-taxon,100gene-100bp/estimated-genetrees,MV,7,1221
15-taxon,100gene-100bp/estimated-genetrees,OG,7,1221
15-taxon,100gene-100bp/estimated-genetrees,RD,7,1259
15-taxon,100gene-100bp/estimated-genetrees,RAND,7,1112
15-taxon,100gene-100bp/estimated-genetrees,MP,8,1089
15-taxon,100gene-100bp/estimated-genetrees,MV,8,1089
15-taxon,100gene-100bp/estimated-genetrees,OG,8,1089
15-taxon,100gene-100bp/estimated-genetrees,RD,8,1195
15-taxon,100gene-100bp/estimated-genetrees,RAND,8,1105
15-taxon,100gene-100bp/estimated-genetrees,MP,9,1181
15-taxon,100gene-100bp/estimated-genetrees,MV,9,1181
15-taxon,100gene-100bp/estimated-genetrees,OG,9,1181
15-taxon,100gene-100bp/estimated-genetrees,RD,9,1254
15-taxon,100gene-100bp/estimated-genetrees,RAND,9,1241
15-taxon,100gene-100bp/estimated-genetrees,MP,10,1259
15-taxon,100gene-100bp/estimated-genetrees,MV,10,1259
15-taxon,100gene-100bp/estimated-genetrees,OG,10,1259
15-taxon,100gene-100bp/estimated-genetrees,RD,10,1179
15-taxon,100gene-100bp/estimated-genetrees,RAND,10,1177
