folder,inner_folder,method,R,triplet-score
11-taxon,estimated_Xgenes_strongILS/estimated_5genes_strongILS,OG, 1,159
11-taxon,estimated_Xgenes_strongILS/estimated_5genes_strongILS,RAND, 1,129
11-taxon,estimated_Xgenes_strongILS/estimated_5genes_strongILS,RD, 1,
11-taxon,estimated_Xgenes_strongILS/estimated_5genes_strongILS,MP, 1,135
11-taxon,estimated_Xgenes_strongILS/estimated_5genes_strongILS,MV, 1,135
11-taxon,estimated_Xgenes_strongILS/estimated_5genes_strongILS,OG, 2,152
11-taxon,estimated_Xgenes_strongILS/estimated_5genes_strongILS,RAND, 2,83
11-taxon,estimated_Xgenes_strongILS/estimated_5genes_strongILS,RD, 2,
11-taxon,estimated_Xgenes_strongILS/estimated_5genes_strongILS,MP, 2,128
11-taxon,estimated_Xgenes_strongILS/estimated_5genes_strongILS,MV, 2,128
11-taxon,estimated_Xgenes_strongILS/estimated_5genes_strongILS,OG, 3,150
11-taxon,estimated_Xgenes_strongILS/estimated_5genes_strongILS,RAND, 3,123
11-taxon,estimated_Xgenes_strongILS/estimated_5genes_strongILS,RD, 3,
11-taxon,estimated_Xgenes_strongILS/estimated_5genes_strongILS,MP, 3,125
11-taxon,estimated_Xgenes_strongILS/estimated_5genes_strongILS,MV, 3,125
11-taxon,estimated_Xgenes_strongILS/estimated_5genes_strongILS,OG, 4,162
11-taxon,estimated_Xgenes_strongILS/estimated_5genes_strongILS,RAND, 4,52
11-taxon,estimated_Xgenes_strongILS/estimated_5genes_strongILS,RD, 4,
11-taxon,estimated_Xgenes_strongILS/estimated_5genes_strongILS,MP, 4,138
11-taxon,estimated_Xgenes_strongILS/estimated_5genes_strongILS,MV, 4,138
11-taxon,estimated_Xgenes_strongILS/estimated_5genes_strongILS,OG, 5,157
11-taxon,estimated_Xgenes_strongILS/estimated_5genes_strongILS,RAND, 5,60
11-taxon,estimated_Xgenes_strongILS/estimated_5genes_strongILS,RD, 5,
11-taxon,estimated_Xgenes_strongILS/estimated_5genes_strongILS,MP, 5,136
11-taxon,estimated_Xgenes_strongILS/estimated_5genes_strongILS,MV, 5,136
11-taxon,estimated_Xgenes_strongILS/estimated_5genes_strongILS,OG, 6,161
11-taxon,estimated_Xgenes_strongILS/estimated_5genes_strongILS,RAND, 6,109
11-taxon,estimated_Xgenes_strongILS/estimated_5genes_strongILS,RD, 6,
11-taxon,estimated_Xgenes_strongILS/estimated_5genes_strongILS,MP, 6,137
11-taxon,estimated_Xgenes_strongILS/estimated_5genes_strongILS,MV, 6,137
11-taxon,estimated_Xgenes_strongILS/estimated_5genes_strongILS,OG, 7,151
11-taxon,estimated_Xgenes_strongILS/estimated_5genes_strongILS,RAND, 7,125
11-taxon,estimated_Xgenes_strongILS/estimated_5genes_strongILS,RD, 7,
11-taxon,estimated_Xgenes_strongILS/estimated_5genes_strongILS,MP, 7,125
11-taxon,estimated_Xgenes_strongILS/estimated_5genes_strongILS,MV, 7,125
11-taxon,estimated_Xgenes_strongILS/estimated_5genes_strongILS,OG, 8,160
11-taxon,estimated_Xgenes_strongILS/estimated_5genes_strongILS,RAND, 8,136
11-taxon,estimated_Xgenes_strongILS/estimated_5genes_strongILS,RD, 8,
11-taxon,estimated_Xgenes_strongILS/estimated_5genes_strongILS,MP, 8,136
11-taxon,estimated_Xgenes_strongILS/estimated_5genes_strongILS,MV, 8,136
11-taxon,estimated_Xgenes_strongILS/estimated_5genes_strongILS,OG, 9,161
11-taxon,estimated_Xgenes_strongILS/estimated_5genes_strongILS,RAND, 9,137
11-taxon,estimated_Xgenes_strongILS/estimated_5genes_strongILS,RD, 9,
11-taxon,estimated_Xgenes_strongILS/estimated_5genes_strongILS,MP, 9,137
11-taxon,estimated_Xgenes_strongILS/estimated_5genes_strongILS,MV, 9,137
11-taxon,estimated_Xgenes_strongILS/estimated_5genes_strongILS,OG, 10,148
11-taxon,estimated_Xgenes_strongILS/estimated_5genes_strongILS,RAND, 10,128
11-taxon,estimated_Xgenes_strongILS/estimated_5genes_strongILS,RD, 10,
11-taxon,estimated_Xgenes_strongILS/estimated_5genes_strongILS,MP, 10,124
11-taxon,estimated_Xgenes_strongILS/estimated_5genes_strongILS,MV, 10,124
11-taxon,estimated_Xgenes_strongILS/estimated_5genes_strongILS,OG, 11,156
11-taxon,estimated_Xgenes_strongILS/estimated_5genes_strongILS,RAND, 11,136
11-taxon,estimated_Xgenes_strongILS/estimated_5genes_strongILS,RD, 11,
11-taxon,estimated_Xgenes_strongILS/estimated_5genes_strongILS,MP, 11,132
11-taxon,estimated_Xgenes_strongILS/estimated_5genes_strongILS,MV, 11,132
11-taxon,estimated_Xgenes_strongILS/estimated_5genes_strongILS,OG, 12,159
11-taxon,estimated_Xgenes_strongILS/estimated_5genes_strongILS,RAND, 12,132
11-taxon,estimated_Xgenes_strongILS/estimated_5genes_strongILS,RD, 12,
11-taxon,estimated_Xgenes_strongILS/estimated_5genes_strongILS,MP, 12,135
11-taxon,estimated_Xgenes_strongILS/estimated_5genes_strongILS,MV, 12,135
11-taxon,estimated_Xgenes_strongILS/estimated_5genes_strongILS,OG, 13,154
11-taxon,estimated_Xgenes_strongILS/estimated_5genes_strongILS,RAND, 13,131
11-taxon,estimated_Xgenes_strongILS/estimated_5genes_strongILS,RD, 13,
11-taxon,estimated_Xgenes_strongILS/estimated_5genes_strongILS,MP, 13,130
11-taxon,estimated_Xgenes_strongILS/estimated_5genes_strongILS,MV, 13,130
11-taxon,estimated_Xgenes_strongILS/estimated_5genes_strongILS,OG, 14,152
11-taxon,estimated_Xgenes_strongILS/estimated_5genes_strongILS,RAND, 14,136
11-taxon,estimated_Xgenes_strongILS/estimated_5genes_strongILS,RD, 14,
11-taxon,estimated_Xgenes_strongILS/estimated_5genes_strongILS,MP, 14,128
11-taxon,estimated_Xgenes_strongILS/estimated_5genes_strongILS,MV, 14,128
11-taxon,estimated_Xgenes_strongILS/estimated_5genes_strongILS,OG, 15,158
11-taxon,estimated_Xgenes_strongILS/estimated_5genes_strongILS,RAND, 15,55
11-taxon,estimated_Xgenes_strongILS/estimated_5genes_strongILS,RD, 15,
11-taxon,estimated_Xgenes_strongILS/estimated_5genes_strongILS,MP, 15,134
11-taxon,estimated_Xgenes_strongILS/estimated_5genes_strongILS,MV, 15,134
11-taxon,estimated_Xgenes_strongILS/estimated_5genes_strongILS,OG, 16,156
11-taxon,estimated_Xgenes_strongILS/estimated_5genes_strongILS,RAND, 16,138
11-taxon,estimated_Xgenes_strongILS/estimated_5genes_strongILS,RD, 16,
11-taxon,estimated_Xgenes_strongILS/estimated_5genes_strongILS,MP, 16,132
11-taxon,estimated_Xgenes_strongILS/estimated_5genes_strongILS,MV, 16,132
11-taxon,estimated_Xgenes_strongILS/estimated_5genes_strongILS,OG, 17,165
11-taxon,estimated_Xgenes_strongILS/estimated_5genes_strongILS,RAND, 17,135
11-taxon,estimated_Xgenes_strongILS/estimated_5genes_strongILS,RD, 17,
11-taxon,estimated_Xgenes_strongILS/estimated_5genes_strongILS,MP, 17,141
11-taxon,estimated_Xgenes_strongILS/estimated_5genes_strongILS,MV, 17,141
11-taxon,estimated_Xgenes_strongILS/estimated_5genes_strongILS,OG, 18,161
11-taxon,estimated_Xgenes_strongILS/estimated_5genes_strongILS,RAND, 18,135
11-taxon,estimated_Xgenes_strongILS/estimated_5genes_strongILS,RD, 18,
11-taxon,estimated_Xgenes_strongILS/estimated_5genes_strongILS,MP, 18,137
11-taxon,estimated_Xgenes_strongILS/estimated_5genes_strongILS,MV, 18,137
11-taxon,estimated_Xgenes_strongILS/estimated_5genes_strongILS,OG, 19,161
11-taxon,estimated_Xgenes_strongILS/estimated_5genes_strongILS,RAND, 19,100
11-taxon,estimated_Xgenes_strongILS/estimated_5genes_strongILS,RD, 19,
11-taxon,estimated_Xgenes_strongILS/estimated_5genes_strongILS,MP, 19,137
11-taxon,estimated_Xgenes_strongILS/estimated_5genes_strongILS,MV, 19,137
11-taxon,estimated_Xgenes_strongILS/estimated_5genes_strongILS,OG, 20,160
11-taxon,estimated_Xgenes_strongILS/estimated_5genes_strongILS,RAND, 20,74
11-taxon,estimated_Xgenes_strongILS/estimated_5genes_strongILS,RD, 20,
11-taxon,estimated_Xgenes_strongILS/estimated_5genes_strongILS,MP, 20,136
11-taxon,estimated_Xgenes_strongILS/estimated_5genes_strongILS,MV, 20,136
11-taxon,estimated_Xgenes_strongILS/estimated_15genes_strongILS,OG, 1,164
11-taxon,estimated_Xgenes_strongILS/estimated_15genes_strongILS,RAND, 1,75
11-taxon,estimated_Xgenes_strongILS/estimated_15genes_strongILS,RD, 1,
11-taxon,estimated_Xgenes_strongILS/estimated_15genes_strongILS,MP, 1,140
11-taxon,estimated_Xgenes_strongILS/estimated_15genes_strongILS,MV, 1,140
11-taxon,estimated_Xgenes_strongILS/estimated_15genes_strongILS,OG, 2,164
11-taxon,estimated_Xgenes_strongILS/estimated_15genes_strongILS,RAND, 2,136
11-taxon,estimated_Xgenes_strongILS/estimated_15genes_strongILS,RD, 2,
11-taxon,estimated_Xgenes_strongILS/estimated_15genes_strongILS,MP, 2,140
11-taxon,estimated_Xgenes_strongILS/estimated_15genes_strongILS,MV, 2,140
11-taxon,estimated_Xgenes_strongILS/estimated_15genes_strongILS,OG, 3,165
11-taxon,estimated_Xgenes_strongILS/estimated_15genes_strongILS,RAND, 3,129
11-taxon,estimated_Xgenes_strongILS/estimated_15genes_strongILS,RD, 3,
11-taxon,estimated_Xgenes_strongILS/estimated_15genes_strongILS,MP, 3,141
11-taxon,estimated_Xgenes_strongILS/estimated_15genes_strongILS,MV, 3,141
11-taxon,estimated_Xgenes_strongILS/estimated_15genes_strongILS,OG, 4,164
11-taxon,estimated_Xgenes_strongILS/estimated_15genes_strongILS,RAND, 4,133
11-taxon,estimated_Xgenes_strongILS/estimated_15genes_strongILS,RD, 4,
11-taxon,estimated_Xgenes_strongILS/estimated_15genes_strongILS,MP, 4,140
