folder,inner_folder,method,mean,std
11-taxon,estimated_Xgenes_strongILS/estimated_100genes_strongILS,MP,140.35,1.3869694338832077
11-taxon,estimated_Xgenes_strongILS/estimated_100genes_strongILS,MV,140.35,1.3869694338832077
11-taxon,estimated_Xgenes_strongILS/estimated_100genes_strongILS,OG,164.15,1.694418080515829
11-taxon,estimated_Xgenes_strongILS/estimated_100genes_strongILS,RAND,138.2,3.8058127287500416
11-taxon,estimated_Xgenes_strongILS/estimated_100genes_strongILS,RD,,
11-taxon,estimated_Xgenes_strongILS/estimated_15genes_strongILS,MP,138.6,2.161870535098331
11-taxon,estimated_Xgenes_strongILS/estimated_15genes_strongILS,MV,138.6,2.161870535098331
11-taxon,estimated_Xgenes_strongILS/estimated_15genes_strongILS,OG,162.95,1.820208200931103
11-taxon,estimated_Xgenes_strongILS/estimated_15genes_strongILS,RAND,129.95,14.383744479903623
11-taxon,estimated_Xgenes_strongILS/estimated_15genes_strongILS,RD,,
11-taxon,estimated_Xgenes_strongILS/estimated_25genes_strongILS,MP,139.85,1.531253356602123
11-taxon,estimated_Xgenes_strongILS/estimated_25genes_strongILS,MV,139.85,1.531253356602123
11-taxon,estimated_Xgenes_strongILS/estimated_25genes_strongILS,OG,163.85,1.531253356602123
11-taxon,estimated_Xgenes_strongILS/estimated_25genes_strongILS,RAND,134.8,9.162854071567553
11-taxon,estimated_Xgenes_strongILS/estimated_25genes_strongILS,RD,,
11-taxon,estimated_Xgenes_strongILS/estimated_50genes_strongILS,MP,140.15,1.4244112357114602
11-taxon,estimated_Xgenes_strongILS/estimated_50genes_strongILS,MV,140.15,1.4244112357114602
11-taxon,estimated_Xgenes_strongILS/estimated_50genes_strongILS,OG,163.7,1.6575187543592482
11-taxon,estimated_Xgenes_strongILS/estimated_50genes_strongILS,RAND,136.65,3.6602415796027232
11-taxon,estimated_Xgenes_strongILS/estimated_50genes_strongILS,RD,,
11-taxon,estimated_Xgenes_strongILS/estimated_5genes_strongILS,MP,133.15,4.912658193515578
11-taxon,estimated_Xgenes_strongILS/estimated_5genes_strongILS,MV,133.15,4.912658193515578
11-taxon,estimated_Xgenes_strongILS/estimated_5genes_strongILS,OG,157.15,4.625728961045235
